CONTROL;SHIPMONTH;WEIGHT;WGTADJ;REGION;SECTIONS;STATUS;PRICE;SQFT;BEDROOMS;TITLED;LOCATION;FOUNDATION;SECURED;JSTATUS;JPRICE;JSQFT;JBEDROOM;JTITLE;JLOCATION;JFOUNDATION;JSECURED
19010001;201901;19,2632;1,0923;4;1;2;53000;440;1;2;3;2;1;R;R;R;R;R;R;R;R
19010002;201901;19,2632;1,0923;4;1;2;59000;620;1;2;1;3;1;R;R;R;R;R;R;R;R
19010003;201901;19,2632;1,0923;4;1;2;55000;920;1;2;3;3;1;R;R;R;R;R;R;R;R
19010004;201901;19,2632;1,0923;4;1;2;100000;700;1;2;1;2;1;R;R;R;R;R;R;R;R
19010005;201901;10,4833;1,0923;1;1;2;57000;1100;3;2;3;3;1;R;I;I;I;I;I;I;I
19010006;201901;10,4833;1,0923;1;1;2;42000;730;1;2;3;3;1;R;R;R;R;R;R;R;R
19010007;201901;51,7714;1,0923;3;1;2;49500;1100;3;3;3;3;1;R;R;R;R;R;R;R;R
19010008;201901;51,7714;1,0923;3;1;2;41300;610;1;2;3;3;1;I;I;I;I;I;I;I;I
19010009;201901;51,7714;1,0923;3;1;2;36800;610;1;2;1;3;1;R;R;R;R;R;R;R;R
19010010;201901;51,7714;1,0923;3;1;2;58000;1200;3;1;1;3;1;R;I;I;I;I;R;I;I
19010011;201901;51,7714;1,0923;3;1;2;60000;1200;3;2;3;3;1;I;I;I;I;I;I;I;I
19010012;201901;51,7714;1,0923;3;1;2;36700;1000;1;1;3;3;1;R;R;R;R;R;R;R;R
19010013;201901;13,1091;1,0923;2;1;2;61000;1300;1;2;1;3;1;I;I;I;I;I;I;I;I
19010014;201901;13,1091;1,0923;2;1;2;60000;1200;3;1;3;3;1;I;I;I;I;I;I;I;I
19010015;201901;13,1091;1,0923;2;1;2;49100;840;1;2;3;3;1;R;I;R;R;R;R;R;R
19010016;201901;13,1091;1,0923;2;1;2;9;1200;3;2;1;3;1;R;9;R;R;R;R;R;R
19010017;201901;13,1091;1,0923;2;1;2;9;1200;3;2;1;3;1;R;9;R;R;R;R;R;R
19010018;201901;13,1091;1,0923;2;1;2;45600;920;3;1;3;3;1;R;R;R;R;R;R;R;R
19010019;201901;13,1091;1,0923;2;1;2;32100;1300;1;2;1;3;1;R;R;R;R;R;R;R;R
19010020;201901;13,1091;1,0923;2;1;2;9;1100;3;1;1;3;1;R;9;R;R;R;R;R;R
19010021;201901;13,1091;1,0923;2;1;2;61000;1300;3;1;1;2;1;R;I;R;R;R;R;R;R
19010022;201901;13,1091;1,0923;2;1;2;41800;670;1;2;1;3;1;R;R;R;R;R;R;R;R
19010023;201901;51,7714;1,0923;3;1;2;47600;780;1;3;3;1;9;I;I;I;I;I;I;I;I
19010024;201901;13,1091;1,0923;2;1;2;9;1100;3;2;1;3;1;R;9;R;R;R;R;R;R
19010025;201901;13,1091;1,0923;2;1;2;60000;1200;3;2;1;3;1;I;I;I;I;I;I;I;I
19010026;201901;13,1091;1,0923;2;1;2;60000;1200;3;2;1;3;1;I;I;I;I;I;I;I;I
19010027;201901;13,1091;1,0923;2;1;2;9;1200;3;3;1;3;1;R;9;R;R;R;R;R;R
19010028;201901;13,1091;1,0923;2;1;2;60000;1200;3;2;1;2;1;I;I;I;I;I;I;I;I
19010029;201901;13,1091;1,0923;2;1;2;55000;1100;3;2;1;3;1;I;I;I;I;I;I;I;I
19010030;201901;13,1091;1,0923;2;1;2;52000;1200;3;2;1;3;1;R;R;R;R;R;R;R;R
19010031;201901;13,1091;1,0923;2;1;2;66000;1200;3;2;1;3;1;R;R;R;R;R;R;R;R
19010032;201901;13,1091;1,0923;2;1;2;60000;1200;3;2;1;3;1;R;R;R;R;I;R;R;R
19010033;201901;19,2632;1,0923;4;1;2;75000;1000;3;2;1;3;1;R;R;I;I;R;R;R;R
19010034;201901;19,2632;1,0923;4;1;2;56000;680;1;2;3;2;1;R;R;R;R;R;R;R;R
19010035;201901;19,2632;1,0923;4;1;2;54000;1000;3;2;1;3;1;I;I;I;I;I;I;I;I
19010036;201901;19,2632;1,0923;4;1;2;55000;1100;3;2;3;3;1;R;I;I;I;I;I;I;I
19010037;201901;10,4833;1,0923;1;1;2;47600;780;1;2;1;2;1;I;I;I;I;I;I;I;I
19010038;201901;10,4833;1,0923;1;1;2;101000;780;1;2;1;2;1;R;R;R;R;R;R;R;R
19010039;201901;10,4833;1,0923;1;1;2;55000;1100;3;2;3;3;1;I;I;I;I;I;I;I;I
19010040;201901;51,7714;1,0923;3;1;2;69000;1100;3;2;1;3;1;R;R;R;R;R;R;R;R
19010041;201901;51,7714;1,0923;3;1;2;58000;1200;3;2;1;3;1;R;R;R;R;R;R;R;R
19010042;201901;13,1091;1,0923;2;1;2;53000;960;1;1;1;3;1;R;R;R;R;R;R;R;R
19010043;201901;10,4833;1,0923;1;1;2;60000;1200;3;2;1;3;1;R;I;R;R;R;R;R;R
19010044;201901;51,7714;1,0923;3;1;2;51000;920;3;2;1;3;1;R;R;R;R;R;R;R;R
19010045;201901;51,7714;1,0923;3;1;2;59000;1200;3;2;3;3;1;R;R;R;R;R;R;R;R
19010046;201901;51,7714;1,0923;3;1;2;47900;1200;3;2;3;3;1;R;R;R;R;R;R;R;R
19010047;201901;51,7714;1,0923;3;1;2;38900;840;1;2;3;3;1;R;R;R;R;R;R;R;R
19010048;201901;51,7714;1,0923;3;1;2;53000;980;3;2;3;2;1;I;I;I;I;I;I;I;I
19010049;201901;51,7714;1,0923;3;1;2;34900;980;3;2;3;3;1;R;R;R;R;R;R;R;R
19010050;201901;51,7714;1,0923;3;1;2;60000;800;1;2;3;3;1;R;R;R;R;R;R;R;R
19010051;201901;51,7714;1,0923;3;1;2;60000;1200;1;2;3;3;1;R;I;I;I;I;R;I;I
19010052;201901;13,1091;1,0923;2;1;2;59000;1200;3;1;1;3;1;R;R;R;R;R;R;R;R
19010053;201901;19,2632;1,0923;4;1;2;59000;840;3;2;3;1;9;R;R;R;R;R;R;R;R
19010054;201901;19,2632;1,0923;4;1;2;58000;840;1;1;3;1;9;R;R;R;R;R;R;R;R
19010055;201901;19,2632;1,0923;4;1;2;44500;680;1;2;3;1;9;I;I;I;I;I;I;I;I
19010056;201901;13,1091;1,0923;2;1;2;61000;1300;3;2;1;1;9;I;I;I;I;I;I;I;I
19010057;201901;13,1091;1,0923;2;1;2;61000;1300;1;2;1;1;9;I;I;I;I;I;I;I;I
19010058;201901;13,1091;1,0923;2;1;2;60000;1200;3;2;1;1;9;I;I;I;I;I;I;I;I
19010059;201901;13,1091;1,0923;2;1;2;60000;1200;3;2;1;1;9;I;I;I;I;I;I;I;I
19010060;201901;13,1091;1,0923;2;1;2;53000;670;1;2;3;1;9;R;R;R;R;R;R;R;R
19010061;201901;19,2632;1,0923;4;1;2;60000;1300;3;1;1;1;9;R;I;I;I;I;R;I;R
19010062;201901;19,2632;1,0923;4;1;2;54000;1000;3;2;1;1;9;R;I;I;I;I;R;I;R
19010063;201901;13,1091;1,0923;2;1;2;60000;1200;3;2;1;1;9;I;I;I;I;I;I;I;I
19010064;201901;10,4833;1,0923;1;1;2;9;1200;3;2;1;1;9;R;9;I;I;I;R;I;R
19010065;201901;51,7714;1,0923;3;1;2;54000;1000;1;2;3;1;9;I;I;I;I;I;I;I;I
19010066;201901;19,2632;1,0923;4;1;1;38900;1100;3;9;9;9;9;R;R;R;R;9;9;9;9
19010067;201901;51,7714;1,0923;3;1;1;74000;610;1;9;9;9;9;R;R;R;R;9;9;9;9
19010068;201901;51,7714;1,0923;3;1;1;47800;610;1;9;9;9;9;R;R;R;R;9;9;9;9
19010069;201901;51,7714;1,0923;3;1;1;55000;1100;3;9;9;9;9;R;R;R;R;9;9;9;9
19010070;201901;19,2632;1,0923;4;1;1;100000;1300;3;9;9;9;9;R;R;R;R;9;9;9;9
19010071;201901;19,2632;1,0923;4;1;1;60000;1300;3;9;9;9;9;R;I;R;R;9;9;9;9
19010072;201901;51,7714;1,0923;3;1;1;63000;1200;3;9;9;9;9;R;R;R;R;9;9;9;9
19010073;201901;19,2632;1,0923;4;1;1;60000;1300;3;9;9;9;9;R;I;I;I;9;9;9;9
19010074;201901;51,7714;1,0923;3;1;1;74000;1300;3;9;9;9;9;R;R;R;R;9;9;9;9
19010075;201901;10,4833;1,0923;1;1;1;55000;1100;1;9;9;9;9;I;I;I;I;9;9;9;9
19010076;201901;10,4833;1,0923;1;1;1;54000;1000;3;9;9;9;9;R;I;I;I;9;9;9;9
19010077;201901;51,7714;1,0923;3;1;1;36300;840;1;9;9;9;9;R;R;R;R;9;9;9;9
19010078;201901;51,7714;1,0923;3;1;1;48900;1300;3;9;9;9;9;R;R;R;R;9;9;9;9
19010079;201901;51,7714;1,0923;3;1;1;45000;1000;1;9;9;9;9;R;R;R;R;9;9;9;9
19010080;201901;51,7714;1,0923;3;1;1;74000;1200;3;9;9;9;9;R;R;R;R;9;9;9;9
19010081;201901;10,4833;1,0923;1;1;1;101000;1100;1;9;9;9;9;R;R;R;R;9;9;9;9
19010082;201901;13,1091;1,0923;2;1;1;60000;1200;3;9;9;9;9;I;I;I;I;9;9;9;9
19010083;201901;13,1091;1,0923;2;1;1;61000;1300;3;9;9;9;9;I;I;I;I;9;9;9;9
19010084;201901;13,1091;1,0923;2;1;1;53000;1100;1;9;9;9;9;R;R;R;R;9;9;9;9
19010085;201901;51,7714;1,0923;3;1;1;49100;840;1;9;9;9;9;I;I;I;I;9;9;9;9
19010086;201901;51,7714;1,0923;3;1;1;29600;780;1;9;9;9;9;R;R;R;R;9;9;9;9
19010087;201901;13,1091;1,0923;2;1;1;52000;960;1;9;9;9;9;I;I;I;I;9;9;9;9
19010088;201901;13,1091;1,0923;2;1;1;51000;920;3;9;9;9;9;I;I;I;I;9;9;9;9
19010089;201901;13,1091;1,0923;2;1;1;57000;1100;3;9;9;9;9;R;I;I;I;9;9;9;9
19010090;201901;10,4833;1,0923;1;1;1;60000;1200;3;9;9;9;9;R;R;R;R;9;9;9;9
19010091;201901;13,1091;1,0923;2;1;1;49100;840;1;9;9;9;9;I;I;I;I;9;9;9;9
19010092;201901;10,4833;1,0923;1;1;1;60000;1200;3;9;9;9;9;I;I;I;I;9;9;9;9
19010093;201901;51,7714;1,0923;3;1;1;61000;1300;3;9;9;9;9;I;I;I;I;9;9;9;9
19010094;201901;13,1091;1,0923;2;1;1;60000;1200;3;9;9;9;9;I;I;I;I;9;9;9;9
19010095;201901;51,7714;1,0923;3;1;1;61000;1300;3;9;9;9;9;R;I;R;R;9;9;9;9
19010096;201901;51,7714;1,0923;3;1;1;51000;1200;3;9;9;9;9;R;R;R;R;9;9;9;9
19010097;201901;13,1091;1,0923;2;1;1;41800;1200;3;9;9;9;9;R;R;R;R;9;9;9;9
19010098;201901;13,1091;1,0923;2;1;1;44900;1200;3;9;9;9;9;R;R;R;R;9;9;9;9
19010099;201901;13,1091;1,0923;2;1;1;41800;1200;3;9;9;9;9;R;R;R;R;9;9;9;9
19010100;201901;13,1091;1,0923;2;1;1;47700;960;1;9;9;9;9;R;R;R;R;9;9;9;9
19010101;201901;13,1091;1,0923;2;1;1;49000;1200;1;9;9;9;9;R;R;R;R;9;9;9;9
19010102;201901;13,1091;1,0923;2;1;1;32100;1300;1;9;9;9;9;R;R;R;R;9;9;9;9
19010103;201901;13,1091;1,0923;2;1;1;43100;1100;3;9;9;9;9;R;R;R;R;9;9;9;9
19010104;201901;13,1091;1,0923;2;1;1;60000;1200;3;9;9;9;9;I;I;I;I;9;9;9;9
19010105;201901;13,1091;1,0923;2;1;1;60000;1200;3;9;9;9;9;I;I;I;I;9;9;9;9
19010106;201901;13,1091;1,0923;2;1;1;58000;1200;3;9;9;9;9;I;I;I;I;9;9;9;9
19010107;201901;13,1091;1,0923;2;1;1;60000;1200;3;9;9;9;9;R;R;R;R;9;9;9;9
19010108;201901;13,1091;1,0923;2;1;1;41800;1200;3;9;9;9;9;R;R;R;R;9;9;9;9
19010109;201901;13,1091;1,0923;2;1;1;60000;1200;1;9;9;9;9;I;I;I;I;9;9;9;9
19010110;201901;13,1091;1,0923;2;1;1;57000;1100;1;9;9;9;9;I;I;I;I;9;9;9;9
19010111;201901;13,1091;1,0923;2;1;1;40000;770;1;9;9;9;9;R;R;R;R;9;9;9;9
19010112;201901;10,4833;1,0923;1;1;1;57000;1100;3;9;9;9;9;R;I;R;R;9;9;9;9
19010113;201901;13,1091;1,0923;2;1;1;47100;770;1;9;9;9;9;I;I;I;I;9;9;9;9
19010114;201901;51,7714;1,0923;3;1;1;60000;1200;3;9;9;9;9;I;I;I;I;9;9;9;9
19010115;201901;10,4833;1,0923;1;1;1;57000;1200;3;9;9;9;9;R;R;R;R;9;9;9;9
19010116;201901;10,4833;1,0923;1;1;1;42000;1000;3;9;9;9;9;R;R;R;R;9;9;9;9
19010117;201901;13,1091;1,0923;2;1;1;55000;1300;3;9;9;9;9;R;R;R;R;9;9;9;9
19010118;201901;19,2632;1,0923;2;1;1;61000;1300;3;9;9;9;9;R;I;R;R;9;9;9;9
19010119;201901;10,4833;1,0923;1;1;1;43500;1000;3;9;9;9;9;R;R;R;R;9;9;9;9
19010120;201901;10,4833;1,0923;1;1;1;59000;1100;3;9;9;9;9;R;R;R;R;9;9;9;9
19010121;201901;13,1091;1,0923;2;1;1;64000;1300;3;9;9;9;9;R;R;R;R;9;9;9;9
19010122;201901;10,4833;1,0923;1;1;1;60000;1200;3;9;9;9;9;I;I;I;I;9;9;9;9
19010123;201901;13,1091;1,0923;2;1;1;62000;1200;3;9;9;9;9;R;R;R;R;9;9;9;9
19010124;201901;13,1091;1,0923;2;1;1;63000;1200;3;9;9;9;9;R;R;R;R;9;9;9;9
19010125;201901;51,7714;1,0923;3;1;1;64000;1200;3;9;9;9;9;R;R;R;R;9;9;9;9
19010126;201901;13,1091;1,0923;2;1;1;58000;1200;1;9;9;9;9;R;R;R;R;9;9;9;9
19010127;201901;51,7714;1,0923;3;1;1;37000;840;1;9;9;9;9;R;R;R;R;9;9;9;9
19010128;201901;13,1091;1,0923;3;1;1;51000;780;1;9;9;9;9;R;R;R;R;9;9;9;9
19010129;201901;1;1,0923;5;1;3;9;9;9;9;9;9;9;R;9;9;9;9;9;9;9
19010130;201901;1;1,0923;5;1;3;9;9;9;9;9;9;9;R;9;9;9;9;9;9;9
19010131;201901;1;1,0923;5;1;3;9;9;9;9;9;9;9;R;9;9;9;9;9;9;9
19010132;201901;1;1,0923;5;1;3;9;9;9;9;9;9;9;R;9;9;9;9;9;9;9
19010133;201901;1;1,0923;5;1;3;9;9;9;9;9;9;9;R;9;9;9;9;9;9;9
19010134;201901;1;1,0923;5;1;3;9;9;9;9;9;9;9;R;9;9;9;9;9;9;9
19010135;201901;1;1,0923;5;1;3;9;9;9;9;9;9;9;R;9;9;9;9;9;9;9
19010136;201901;1;1,0923;5;1;3;9;9;9;9;9;9;9;R;9;9;9;9;9;9;9
19010137;201901;1;1,0923;5;1;3;9;9;9;9;9;9;9;R;9;9;9;9;9;9;9
19010138;201901;1;1,0923;5;1;3;9;9;9;9;9;9;9;R;9;9;9;9;9;9;9
19010139;201901;1;1,0923;5;1;3;9;9;9;9;9;9;9;R;9;9;9;9;9;9;9
19010140;201901;1;1,0923;5;1;3;9;9;9;9;9;9;9;R;9;9;9;9;9;9;9
19010141;201901;1;1,0923;5;1;3;9;9;9;9;9;9;9;R;9;9;9;9;9;9;9
19010142;201901;1;1,0923;5;1;3;9;9;9;9;9;9;9;R;9;9;9;9;9;9;9
19010143;201901;1;1,0923;5;1;3;9;9;9;9;9;9;9;R;9;9;9;9;9;9;9
19010144;201901;1;1,0923;5;1;3;9;9;9;9;9;9;9;R;9;9;9;9;9;9;9
19010145;201901;1;1,0923;5;1;3;9;9;9;9;9;9;9;R;9;9;9;9;9;9;9
19010146;201901;1;1,0923;5;1;3;9;9;9;9;9;9;9;R;9;9;9;9;9;9;9
19010147;201901;1;1,0923;5;1;3;9;9;9;9;9;9;9;R;9;9;9;9;9;9;9
19010148;201901;1;1,0923;5;1;3;9;9;9;9;9;9;9;R;9;9;9;9;9;9;9
19010149;201901;1;1,0923;5;1;3;9;9;9;9;9;9;9;R;9;9;9;9;9;9;9
19010150;201901;1;1,0923;5;1;3;9;9;9;9;9;9;9;R;9;9;9;9;9;9;9
19010151;201901;1;1,0923;5;1;3;9;9;9;9;9;9;9;R;9;9;9;9;9;9;9
19010152;201901;1;1,0923;5;1;3;9;9;9;9;9;9;9;R;9;9;9;9;9;9;9
19010153;201901;1;1,0923;5;1;3;9;9;9;9;9;9;9;R;9;9;9;9;9;9;9
19010154;201901;51,7714;1,0923;5;1;3;9;9;9;9;9;9;9;R;9;9;9;9;9;9;9
19010155;201901;25,8857;1,0251;3;2;2;84000;1900;3;2;3;3;1;R;R;R;R;R;R;R;R
19010156;201901;25,8857;1,0251;3;2;2;131000;2500;3;2;3;3;1;R;R;R;R;R;R;R;R
19010157;201901;25,8857;1,0251;3;2;2;66000;2000;1;2;3;3;1;R;R;R;R;R;R;R;R
19010158;201901;25,8857;1,0251;3;2;2;116000;2000;1;1;3;3;1;I;I;I;I;I;I;I;I
19010159;201901;25,8857;1,0251;3;2;2;63000;2000;1;2;3;3;1;R;R;R;R;R;R;R;R
19010160;201901;9,6316;1,0251;4;2;2;90000;1100;1;2;1;2;1;R;R;R;R;R;R;R;R
19010161;201901;9,6316;1,0251;4;2;2;157000;1300;3;2;1;3;1;R;R;R;R;R;R;R;R
19010162;201901;9,6316;1,0251;4;2;2;71000;1600;3;2;3;3;1;R;R;R;R;R;R;R;R
19010163;201901;9,6316;1,0251;4;2;2;97000;1400;1;2;3;3;1;R;R;R;R;R;R;R;R
19010164;201901;9,6316;1,0251;4;2;2;94000;1100;1;2;1;2;1;R;R;R;R;R;R;R;R
19010165;201901;9,6316;1,0251;4;2;2;119000;2100;3;1;3;3;1;I;I;I;I;I;I;I;I
19010166;201901;9,6316;1,0251;4;2;2;97000;1300;3;2;3;3;1;I;I;I;I;I;I;I;I
19010167;201901;9,6316;1,0251;4;2;2;100000;1500;3;2;3;2;1;I;I;I;I;I;I;I;I
19010168;201901;9,6316;1,0251;4;2;2;127000;2500;3;3;3;2;1;I;I;I;I;I;I;I;I
19010169;201901;25,8857;1,0251;3;2;2;103000;1600;3;2;3;2;1;I;I;I;I;I;I;I;I
19010170;201901;25,8857;1,0251;3;2;2;92000;1100;3;1;3;3;1;I;I;I;I;I;I;I;I
19010171;201901;9,6316;1,0251;4;2;2;121000;1500;3;1;3;2;1;R;R;R;R;R;R;R;R
19010172;201901;9,6316;1,0251;4;2;2;83000;930;3;2;3;2;1;R;R;R;R;R;R;R;R
19010173;201901;9,6316;1,0251;4;2;2;140000;1200;3;1;1;2;1;R;R;R;R;R;R;R;R
19010174;201901;9,6316;1,0251;4;2;2;106000;1700;3;3;1;2;1;R;I;I;I;R;R;R;R
19010175;201901;9,6316;1,0251;4;2;2;112000;1900;3;2;3;3;1;I;I;I;I;I;I;I;I
19010176;201901;9,6316;1,0251;4;2;2;60000;930;3;3;1;2;1;R;R;R;R;R;R;R;R
19010177;201901;9,6316;1,0251;4;2;2;145000;2000;3;2;1;2;1;R;R;R;R;R;R;R;R
19010178;201901;9,6316;1,0251;4;2;2;125000;1100;3;2;1;2;1;R;R;R;R;R;R;R;R
19010179;201901;9,6316;1,0251;4;2;2;226000;1600;3;2;1;2;1;R;R;R;R;R;R;R;R
19010180;201901;9,6316;1,0251;4;2;2;76000;1200;1;1;1;3;1;R;R;R;R;R;R;R;R
19010181;201901;9,6316;1,0251;4;2;2;134000;1200;1;2;3;2;1;R;R;R;R;R;R;R;R
19010182;201901;9,6316;1,0251;4;2;2;93000;1200;1;2;3;2;1;I;I;I;I;I;I;I;I
19010183;201901;9,6316;1,0251;4;2;2;109000;1800;3;2;1;3;1;R;I;I;I;I;R;I;I
19010184;201901;9,6316;1,0251;4;2;2;125000;1100;3;2;1;2;1;R;R;R;R;R;R;R;R
19010185;201901;9,6316;1,0251;4;2;2;106000;1700;3;2;1;2;1;R;I;R;R;I;R;R;R
19010186;201901;9,6316;1,0251;4;2;2;139000;1100;3;2;1;2;1;R;R;R;R;R;R;R;R
19010187;201901;9,6316;1,0251;4;2;2;87000;1300;3;2;1;3;1;R;R;R;R;R;R;R;R
19010188;201901;5,2417;1,0251;1;2;2;110000;1800;3;1;3;3;1;R;R;R;R;R;R;R;R
19010189;201901;5,2417;1,0251;1;2;2;124000;1800;1;2;1;3;1;R;R;R;R;R;R;R;R
19010190;201901;5,2417;1,0251;1;2;2;256000;1600;3;2;1;3;1;R;R;R;R;R;R;R;R
19010191;201901;25,8857;1,0251;3;2;2;131000;2500;3;1;3;3;1;I;I;I;I;I;I;I;I
19010192;201901;25,8857;1,0251;3;2;2;131000;1400;3;2;1;3;1;R;R;R;R;R;R;R;R
19010193;201901;25,8857;1,0251;3;2;2;103000;1600;3;2;1;3;1;R;I;I;I;I;R;I;I
19010194;201901;25,8857;1,0251;3;2;2;96000;1900;3;3;1;2;1;R;R;R;R;R;R;R;R
19010195;201901;25,8857;1,0251;3;2;2;52000;1600;3;2;3;3;1;R;R;R;R;R;R;R;R
19010196;201901;25,8857;1,0251;3;2;2;106000;1700;3;2;3;3;1;I;I;I;I;I;I;I;I
19010197;201901;25,8857;1,0251;3;2;2;87000;1500;3;2;3;3;1;R;R;R;R;R;R;R;R
19010198;201901;25,8857;1,0251;3;2;2;118000;2300;3;2;3;3;1;R;R;R;R;R;R;R;R
19010199;201901;25,8857;1,0251;3;2;2;106000;1800;3;2;3;3;1;R;R;R;R;R;R;R;R
19010200;201901;25,8857;1,0251;3;2;2;104000;2200;3;2;3;3;1;R;R;R;R;R;R;R;R
19010201;201901;25,8857;1,0251;3;2;2;138000;2500;3;2;3;3;1;R;R;R;R;R;R;R;R
19010202;201901;25,8857;1,0251;3;2;2;52000;1100;3;1;3;3;1;R;R;R;R;R;R;R;R
19010203;201901;6,5545;1,0251;2;2;2;162000;1900;3;2;3;3;1;R;R;R;R;R;R;R;R
19010204;201901;6,5545;1,0251;2;2;2;92000;1100;1;2;3;3;1;R;I;R;R;R;R;R;R
19010205;201901;6,5545;1,0251;2;2;2;9;1600;3;2;1;3;1;R;9;R;R;R;R;R;R
19010206;201901;6,5545;1,0251;2;2;2;119000;2100;3;2;1;3;1;R;I;I;I;I;R;I;I
19010207;201901;6,5545;1,0251;2;2;2;93000;1200;3;3;1;3;1;I;I;I;I;I;I;I;I
19010208;201901;25,8857;1,0251;3;2;2;113000;1900;3;2;3;3;1;I;I;I;I;I;I;I;I
19010209;201901;6,5545;1,0251;2;2;2;70000;1300;3;1;1;3;1;R;R;R;R;R;R;R;R
19010210;201901;6,5545;1,0251;2;2;2;96000;1300;3;2;1;3;1;I;I;I;I;I;I;I;I
19010211;201901;6,5545;1,0251;2;2;2;113000;1900;3;2;1;3;1;R;I;I;I;I;R;I;I
19010212;201901;6,5545;1,0251;2;2;2;82000;1600;1;3;3;3;1;R;R;R;R;R;R;R;R
19010213;201901;6,5545;1,0251;2;2;2;103000;1600;3;2;1;3;1;R;I;I;I;I;R;I;I
19010214;201901;6,5545;1,0251;2;2;2;119000;2100;3;2;1;3;1;I;I;I;I;I;I;I;I
19010215;201901;25,8857;1,0251;3;2;2;76000;1600;3;2;3;3;1;R;R;R;R;R;R;R;R
19010216;201901;6,5545;1,0251;2;2;2;86000;1800;3;2;3;3;1;R;R;R;R;R;R;R;R
19010217;201901;6,5545;1,0251;2;2;2;54000;1600;3;2;3;3;1;R;R;R;R;R;R;R;R
19010218;201901;9,6316;1,0251;4;2;2;103000;1600;3;1;1;3;1;I;I;I;I;I;I;I;I
19010219;201901;9,6316;1,0251;4;2;2;110000;1800;3;2;1;2;1;I;I;I;I;I;I;I;I
19010220;201901;9,6316;1,0251;4;2;2;75000;1200;3;3;1;3;1;R;R;R;R;R;R;R;R
19010221;201901;9,6316;1,0251;4;2;2;92000;1200;3;3;1;3;1;I;I;I;I;I;I;I;I
19010222;201901;9,6316;1,0251;4;2;2;60000;1300;3;2;3;3;1;R;R;R;R;R;R;R;R
19010223;201901;9,6316;1,0251;4;2;2;103000;1600;3;2;3;3;1;I;I;I;I;I;I;I;I
19010224;201901;25,8857;1,0251;3;2;2;93000;1100;3;2;3;3;1;R;R;R;R;R;R;R;R
19010225;201901;25,8857;1,0251;3;2;2;124000;2300;3;1;3;3;1;I;I;I;I;I;I;I;I
19010226;201901;25,8857;1,0251;3;2;2;110000;1800;3;2;3;3;1;I;I;I;I;I;I;I;I
19010227;201901;6,5545;1,0251;2;2;2;54000;1600;3;2;3;2;1;R;R;R;R;R;R;R;R
19010228;201901;6,5545;1,0251;2;2;2;98000;1700;3;2;3;3;1;R;R;R;R;R;R;R;R
19010229;201901;6,5545;1,0251;2;2;2;9;1100;1;2;1;3;1;R;9;I;I;I;R;I;I
19010230;201901;6,5545;1,0251;2;2;2;82000;1600;3;1;1;3;1;R;R;R;R;R;R;R;R
19010231;201901;25,8857;1,0251;3;2;2;103000;1600;3;2;3;3;1;R;I;I;I;R;R;R;R
19010232;201901;25,8857;1,0251;3;2;2;86000;2200;3;3;3;3;1;R;R;R;R;R;R;R;R
19010233;201901;25,8857;1,0251;3;2;2;89000;2200;3;2;3;3;1;R;R;R;R;R;R;R;R
19010234;201901;9,6316;1,0251;4;2;2;94000;1200;1;1;3;2;1;I;I;I;I;I;I;I;I
19010235;201901;5,2417;1,0251;1;2;2;127000;2000;3;2;1;3;1;R;R;R;R;R;R;R;R
19010236;201901;5,2417;1,0251;1;2;2;127000;2000;3;1;3;3;1;R;R;R;R;R;R;R;R
19010237;201901;5,2417;1,0251;1;2;2;72000;1400;3;2;3;3;1;R;R;R;R;R;R;R;R
19010238;201901;5,2417;1,0251;1;2;2;174000;1800;3;2;1;3;1;R;R;R;R;R;R;R;R
19010239;201901;5,2417;1,0251;1;2;2;114000;1800;3;2;3;3;1;R;R;R;R;R;R;R;R
19010240;201901;5,2417;1,0251;1;2;2;71000;1200;3;2;1;2;1;R;R;R;R;R;R;R;R
19010241;201901;5,2417;1,0251;1;2;2;101000;980;1;2;3;3;1;R;R;R;R;R;R;R;R
19010242;201901;5,2417;1,0251;1;2;2;106000;1400;3;1;1;3;1;R;R;R;R;R;R;R;R
19010243;201901;5,2417;1,0251;1;2;2;9;980;1;2;1;3;1;R;9;I;I;I;R;I;I
19010244;201901;25,8857;1,0251;3;2;2;120000;2200;3;2;3;3;1;I;I;I;I;I;I;I;I
19010245;201901;25,8857;1,0251;3;2;2;62000;1700;3;2;3;3;1;R;R;R;R;R;R;R;R
19010246;201901;25,8857;1,0251;3;2;2;129000;2500;3;2;1;3;1;R;R;R;R;R;R;R;R
19010247;201901;25,8857;1,0251;3;2;2;104000;1800;3;2;1;3;1;R;R;R;R;R;R;R;R
19010248;201901;25,8857;1,0251;3;2;2;94000;1100;3;2;3;3;1;I;I;I;I;I;I;I;I
19010249;201901;25,8857;1,0251;3;2;2;145000;2500;3;2;3;3;1;R;R;R;R;R;R;R;R
19010250;201901;25,8857;1,0251;3;2;2;94000;1100;3;2;1;3;1;R;I;R;R;R;R;R;R
19010251;201901;25,8857;1,0251;3;2;2;127000;2500;3;1;3;3;1;I;I;I;I;I;I;I;I
19010252;201901;25,8857;1,0251;3;2;2;133000;1900;3;2;3;3;1;R;R;R;R;R;R;R;R
19010253;201901;25,8857;1,0251;3;2;2;110000;1800;3;2;3;2;1;I;I;I;I;I;I;I;I
19010254;201901;25,8857;1,0251;3;2;2;87000;1700;3;2;3;3;1;R;R;R;R;R;R;R;R
19010255;201901;25,8857;1,0251;3;2;2;88000;1700;3;1;1;3;1;R;R;R;R;R;R;R;R
